,Account,ERP Equip ID,Manufacturer,Model,Mono Pages Total AMV,Color Pages Total AMV,CPP B/W,CPP Color,B/W Cost,Color Cost,Total Cost
13,Cache Valley Bank,23336,SHARP,AR-M237,703,0,0.0125,,8.7875,,8.7875
14,Cache Valley Bank,26633,HP,Color LaserJet CP2025dn,179,542,0.0258,0.1117,4.6182,60.541399999999996,65.1596
15,Cache Valley Bank,,HP,Color LaserJet CP3505,923,397,0.0256,0.1046,23.628800000000002,41.5262,65.155
16,Cache Valley Bank,,HP,Color LaserJet M553,23,102,0.017,0.0642,0.391,6.548399999999999,6.939399999999999
17,Cache Valley Bank,,HP,Color LaserJet M553,152,278,0.017,0.0642,2.584,17.847599999999996,20.431599999999996
18,Cache Valley Bank,,HP,Color LaserJet M553,1980,733,0.017,0.0642,33.660000000000004,47.0586,80.71860000000001
19,Cache Valley Bank,,HP,Color LaserJet M553,1,33,0.017,0.0642,0.017,2.1186,2.1355999999999997
20,Cache Valley Bank,M553-JPCCM4R16K,HP,Color LaserJet M553,52,156,0.017,0.0642,0.8840000000000001,10.015199999999998,10.899199999999999
21,Cache Valley Bank,,HP,LaserJet 400 color M451dw,124,223,0.0256,0.1362,3.1744000000000003,30.3726,33.547
22,Cache Valley Bank,,HP,LaserJet 400 color M451dw,160,660,0.0256,0.1362,4.096,89.892,93.988
23,Cache Valley Bank,CNDF510615,HP,LaserJet 400 color M451dw,274,423,0.0256,0.1362,7.0144,57.61259999999999,64.627
24,Cache Valley Bank,,HP,LaserJet 400 color M451dw,6,38,0.0256,0.1362,0.15360000000000001,5.175599999999999,5.329199999999999
25,Cache Valley Bank,,HP,LaserJet 400 color M451dw,41,36,0.0256,0.1362,1.0496,4.9032,5.9528
26,Cache Valley Bank,,HP,LaserJet 400 M401dn,504,0,0.0153,,7.7112,,7.7112
27,Cache Valley Bank,,HP,LaserJet 400 M401dn,1126,0,0.0153,,17.2278,,17.2278
28,Cache Valley Bank,,HP,LaserJet 400 M401dn,612,0,0.0153,,9.3636,,9.3636
29,Cache Valley Bank,,HP,LaserJet 400 M401dn,482,0,0.0153,,7.3746,,7.3746
30,Cache Valley Bank,400-VNG4C00951,HP,LaserJet 400 M401dn,283,0,0.0153,,4.329899999999999,,4.329899999999999
31,Cache Valley Bank,,HP,LaserJet 400 M401dn,596,0,0.0153,,9.1188,,9.1188
32,Cache Valley Bank,27712,HP,LaserJet 400 M401dn,1085,0,0.0153,,16.6005,,16.6005
33,Cache Valley Bank,,HP,LaserJet 400 M401dn,1451,0,0.0153,,22.2003,,22.2003
34,Cache Valley Bank,,HP,LaserJet 400 M401dn,1418,0,0.0153,,21.6954,,21.6954
35,Cache Valley Bank,300565,HP,LaserJet 400 M401dn,1873,0,0.0153,,28.6569,,28.6569
36,Cache Valley Bank,M401-VNG3702015,HP,LaserJet 400 M401dne,464,0,0.0153,,7.0992,,7.0992
37,Cache Valley Bank,,HP,LaserJet 400 M401dne,165,0,0.0153,,2.5244999999999997,,2.5244999999999997
