,ID?,ID?,ID?,ID?,ID?,ID?,ID?,ID?,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Is Managed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FALSE,75,51.57333333,30.62509717,2,26,53,76.5,134,75,61605.89333,102093.6075,240,9042,25972,82636,641258,75,55479.8,82263.22619,31,7393,22822,82636,548962,75,6126.093333,36825.7411,0,0,0,0,312022,75,0.017053333,0.003539481,0.0058,0.0153,0.017,0.0192,0.0256,75,0.014748,0.036216736,0,0,0,0,0.1362,75,817.6424613,960.9378068,0.527,136.8259,395.0766,1341.19035,5215.139,75,8.632839638,33.70240045,0.002704864,0.511084652,2.079620325,4.709086193,280.3713021,75,450.0408613,2258.618343,0,0,0,0,17941.265,75,1.409114732,6.248829054,0,0,0,0,48.97517141,75,1266.078176,2699.835542,4.608,178.6752,523.3728,1506.32445,20904.389,75,9.988345241,34.15851006,0.023430438,0.554686872,2.816042216,5.579665655,280.3713021,75,47.48,11.00167063,16,45.5,49,54.5,59
TRUE,59,87.74576271,38.92636427,1,55.5,103,118.5,133,59,195347.8475,295558.6368,2,16172.5,55876,231371,1537461,59,190183.678,294285.7427,2,16049,55876,231371,1537461,59,5164.169492,25327.94886,0,0,0,0,182712,59,0.011862712,0.005012739,0.0058,0.0075,0.01,0.0153,0.0258,59,0.007476271,0.025817558,0,0,0,0,0.1362,59,1620.350627,2076.456254,0.0384,186.61875,762.2001,2285.40875,10608.4809,59,6.146369032,8.925106073,0.007383103,0.674989966,3.5385988,7.39283247,49.15108099,59,363.8887288,1566.047055,0,0,0,0,10505.94,59,1.009612013,4.273246022,0,0,0,0,28.6785717,59,1984.030305,2600.19107,0.0384,186.61875,1186.03,2490.00625,12659.658,59,7.148999107,9.71124332,0.007383103,0.770902453,3.675291155,10.58864848,49.15108099,59,49.10169492,10.63937857,16,48.5,49,56.5,59
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Is Managed,FALSE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID?,count,,75,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID?,mean,,51.57333333,87.74576271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID?,std,,30.62509717,38.92636427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID?,min,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID?,25%,,26,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID?,50%,,53,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID?,75%,,76.5,118.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID?,max,,134,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
