,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Location,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bountful,6,14283.5,9540.05729,1821,8918,12236.5,22276.5,25972,6,13658,10080.32944,1821,6103.25,12236.5,22276.5,25972,6,625.5,1532.155834,0,0,0,0,3753,6,0.016883333,0.004680349,0.0075,0.01755,0.0192,0.0192,0.0192,6,0.0107,0.02620954,0,0,0,0,0.0642,6,212.3226167,165.8851426,34.9632,108.87795,181.84815,264.506475,498.6624,6,7.091132266,5.540217549,1.16769791,3.636296295,6.073348682,8.833964224,16.65428342,6,40.1571,98.36440455,0,0,0,0,240.9426,6,1.34116333,3.285165819,0,0,0,0,8.046979978,6,252.4797167,158.0396381,34.9632,180.338475,237.96015,317.6409,498.6624,6,8.432295596,5.278194073,1.16769791,6.022928687,7.947372373,10.60854313,16.65428342
Branch 49,38,168920.1316,225307.5443,17,19462.5,91227.5,183024.75,858691,38,160786.5,222851.748,17,16290.75,91227.5,177013,858691,38,8133.631579,31551.79204,0,0,0,0,182712,38,0.015410526,0.005656366,0.0058,0.0105,0.0153,0.0192,0.0256,38,0.016707895,0.041398697,0,0,0,0,0.1362,38,1722.562829,1738.173172,0.2941,192.991275,1506.32445,2382.787725,6173.4525,38,4.72832016,4.730279104,0.007383103,0.584680753,4.113759862,6.50808131,16.86732349,38,671.5744421,2137.016024,0,0,0,0,10505.94,38,1.848477676,5.830465923,0,0,0,0,28.6785717,38,2394.137271,2759.651881,0.2941,386.306775,1534.9788,3236.649975,12659.658,38,6.576797836,7.505797554,0.007383103,1.055480922,4.193922925,8.84240208,34.55767971
Ephraim,10,71869.2,85379.9192,3309,29600.5,46366,76339.75,294745,10,71597.2,85626.58042,589,29600.5,46366,76339.75,294745,10,272,860.1395236,0,0,0,0,2720,10,0.01527,0.005307448,0.0075,0.011325,0.0153,0.018225,0.0256,10,0.01362,0.043070222,0,0,0,0,0.1362,10,862.65912,839.5070156,15.0784,336.858825,709.3998,1086.51765,2947.45,10,9.048029804,20.80814459,0.041197733,1.082788199,2.117239241,3.46239993,67.92189046,10,37.0464,117.1510031,0,0,0,0,370.464,10,0.101219474,0.32008408,0,0,0,0,1.012194737,10,899.70552,805.4309539,178.5216,420,709.3998,1086.51765,2947.45,10,9.149249278,20.76187393,0.624563619,1.309949434,2.117239241,3.46239993,67.92189046
Fairview,4,19733,20708.95222,2445,5543.25,14140.5,28330.25,48206,4,19733,20708.95222,2445,5543.25,14140.5,28330.25,48206,4,0,0,0,0,0,0,0,4,0.012025,0.00391695,0.0075,0.009375,0.01265,0.0153,0.0153,4,0,0,0,0,0,0,0,4,268.388025,323.2254279,18.3375,80.043975,158.8314,347.17545,737.5518,4,1.080601842,1.050950363,0.071911572,0.22433928,1.116746577,1.973009139,2.017002642,4,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4,268.388025,323.2254279,18.3375,80.043975,158.8314,347.17545,737.5518,4,1.080601842,1.050950363,0.071911572,0.22433928,1.116746577,1.973009139,2.017002642
Hyrum,3,12123.66667,16727.27071,819,2516,4213,17776,31339,3,12123.66667,16727.27071,819,2516,4213,17776,31339,3,0,0,0,0,0,0,0,3,0.017466667,0.003002221,0.014,0.0166,0.0192,0.0192,0.0192,3,0,0,0,0,0,0,0,3,178.4534667,227.7625188,15.7248,48.3072,80.8896,259.8178,438.746,3,5.959973343,7.606792774,0.525175501,1.61335966,2.701543819,8.677372265,14.65320071,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,178.4534667,227.7625188,15.7248,48.3072,80.8896,259.8178,438.746,3,5.959973343,7.606792774,0.525175501,1.61335966,2.701543819,8.677372265,14.65320071
Layton,8,165901.75,258215.1691,2580,16069.75,62217.5,189789,768826,8,164749,258982.553,529,13644,60528.5,189789,768826,8,1152.75,2324.48303,0,0,0,722.25,6333,8,0.014325,0.005465411,0.0058,0.012925,0.01615,0.01755,0.0192,8,0.01605,0.029718825,0,0,0,0.01605,0.0642,8,1347.2122,1559.406472,8.993,233.367,867.3348,1828.55655,4459.1908,8,3.713801991,4.235825083,0.02457099,0.832011484,2.373685731,4.993172976,12.18355753,8,74.00655,149.2318105,0,0,0,46.36845,406.5786,8,0.248264907,0.528100319,0,0,0,0.126689506,1.47936123,8,1421.21875,1503.606053,49.536,340.7495,1023.1909,1828.55655,4459.1908,8,3.962066898,4.070670574,0.135343997,0.931007738,3.113366346,4.993172976,12.18355753
Loa,5,59248.2,49517.54945,11081,11603,53632,105359,114566,5,59248.2,49517.54945,11081,11603,53632,105359,114566,5,0,0,0,0,0,0,0,5,0.01346,0.004669368,0.0075,0.01,0.0153,0.0153,0.0192,5,0,0,0,0,0,0,0,5,809.6041,658.1296497,83.1075,177.5259,1029.7344,1145.66,1611.9927,5,3.652379266,4.049848212,0.327409046,0.485042492,2.816042216,4.404343004,10.22905957,5,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,5,809.6041,658.1296497,83.1075,177.5259,1029.7344,1145.66,1611.9927,5,3.652379266,4.049848212,0.327409046,0.485042492,2.816042216,4.404343004,10.22905957
Logan,2,42325.5,59854.46771,2,21163.75,42325.5,63487.25,84649,2,42325.5,59854.46771,2,21163.75,42325.5,63487.25,84649,2,0,0,0,0,0,0,0,2,0.01725,0.002757716,0.0153,0.016275,0.01725,0.018225,0.0192,2,0,0,0,0,0,0,0,2,647.58405,915.7678405,0.0384,323.811225,647.58405,971.356875,1295.1297,2,1.776074238,2.49258614,0.013549676,0.894811957,1.776074238,2.657336519,3.5385988,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,647.58405,915.7678405,0.0384,323.811225,647.58405,971.356875,1295.1297,2,1.776074238,2.49258614,0.013549676,0.894811957,1.776074238,2.657336519,3.5385988
