,ID?,ID?,ID?,ID?,ID?,ID?,ID?,ID?,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Mono,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,Total Pages Color,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP BW,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,CPP Color,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,Total Cost Mono,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,TCM/Day,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,Total Cost Color,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,TCC/Day,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Total Cost / Day,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP,Location IP
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-M237,1.0,102.0,,102.0,102.0,102.0,102.0,102.0,1.0,181011.0,,181011.0,181011.0,181011.0,181011.0,181011.0,1.0,181011.0,,181011.0,181011.0,181011.0,181011.0,181011.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0125,,0.0125,0.0125,0.0125,0.0125,0.0125,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2262.6375,,2262.6375,2262.6375,2262.6375,2262.6375,2262.6375,1.0,10.94823738,,10.94823738,10.94823738,10.94823738,10.94823738,10.94823738,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2262.6375,,2262.6375,2262.6375,2262.6375,2262.6375,2262.6375,1.0,10.94823738,,10.94823738,10.94823738,10.94823738,10.94823738,10.94823738,1.0,59.0,,59.0,59.0,59.0,59.0,59.0
Color LaserJet CP2025dn,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,49522.0,,49522.0,49522.0,49522.0,49522.0,49522.0,1.0,16419.0,,16419.0,16419.0,16419.0,16419.0,16419.0,1.0,33103.0,,33103.0,33103.0,33103.0,33103.0,33103.0,1.0,0.0258,,0.0258,0.0258,0.0258,0.0258,0.0258,1.0,0.1117,,0.1117,0.1117,0.1117,0.1117,0.1117,1.0,423.6102,,423.6102,423.6102,423.6102,423.6102,423.6102,1.0,1.157402649,,1.157402649,1.157402649,1.157402649,1.157402649,1.157402649,1.0,3697.6051,,3697.6051,3697.6051,3697.6051,3697.6051,3697.6051,1.0,10.10272637,,10.10272637,10.10272637,10.10272637,10.10272637,10.10272637,1.0,4121.2153,,4121.2153,4121.2153,4121.2153,4121.2153,4121.2153,1.0,11.26012902,,11.26012902,11.26012902,11.26012902,11.26012902,11.26012902,1.0,59.0,,59.0,59.0,59.0,59.0,59.0
Color LaserJet CP3505,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,1.0,172800.0,,172800.0,172800.0,172800.0,172800.0,172800.0,1.0,105081.0,,105081.0,105081.0,105081.0,105081.0,105081.0,1.0,67719.0,,67719.0,67719.0,67719.0,67719.0,67719.0,1.0,0.0256,,0.0256,0.0256,0.0256,0.0256,0.0256,1.0,0.1046,,0.1046,0.1046,0.1046,0.1046,0.1046,1.0,2690.0736,,2690.0736,2690.0736,2690.0736,2690.0736,2690.0736,1.0,7.343228900000001,,7.343228900000001,7.343228900000001,7.343228900000001,7.343228900000001,7.343228900000001,1.0,7083.4074,,7083.4074,7083.4074,7083.4074,7083.4074,7083.4074,1.0,19.33593264,,19.33593264,19.33593264,19.33593264,19.33593264,19.33593264,1.0,9773.481,,9773.481,9773.481,9773.481,9773.481,9773.481,1.0,26.67916154,,26.67916154,26.67916154,26.67916154,26.67916154,26.67916154,1.0,49.0,,49.0,49.0,49.0,49.0,49.0
Color LaserJet M553,7.0,6.0,2.160246899469287,3.0,4.5,6.0,7.5,9.0,7.0,6443.857142857143,8286.336855100115,248.0,914.0,3418.0,7974.0,23665.0,7.0,3749.5714285714284,6251.824983078751,31.0,303.5,714.0,3781.5,17332.0,7.0,2694.285714285714,2377.7890090225774,170.0,541.5,2889.0,4192.5,6333.0,7.0,0.017,0.0,0.017,0.017,0.017,0.017,0.017,7.0,0.0642,0.0,0.0642,0.0642,0.0642,0.0642,0.0642,7.0,63.74271428571428,106.28102471233876,0.527,5.1595,12.138,64.2855,294.644,7.0,0.6121409432857143,1.059560533025477,0.0027048640000000004,0.0344283115,0.117513431,0.6191764280000001,2.857558829,7.0,172.97314285714285,152.65405437924946,10.914000000000001,34.7643,185.4738,269.1585,406.5786,7.0,1.7148797652857142,2.825607749331369,0.09489913800000001,0.4356314225,0.699158398,1.1459289990000001,8.046979978,7.0,236.71585714285717,246.39352483163228,12.24,41.0968,194.4668,333.444,701.2226,7.0,2.327020709,3.8640755536598808,0.097604002,0.470059734,0.865430947,1.7407258680000002,10.90453881,7.0,44.142857142857146,13.158375931050806,16.0,44.0,47.0,51.5,55.0
Color LaserJet MFP M577,1.0,10.0,,10.0,10.0,10.0,10.0,10.0,1.0,15564.0,,15564.0,15564.0,15564.0,15564.0,15564.0,1.0,8599.0,,8599.0,8599.0,8599.0,8599.0,8599.0,1.0,6965.0,,6965.0,6965.0,6965.0,6965.0,6965.0,1.0,0.017,,0.017,0.017,0.017,0.017,0.017,1.0,0.013999999999999999,,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,0.013999999999999999,1.0,146.183,,146.183,146.183,146.183,146.183,146.183,1.0,4.882207107,,4.882207107,4.882207107,4.882207107,4.882207107,4.882207107,1.0,120.38600000000001,,120.38600000000001,120.38600000000001,120.38600000000001,120.38600000000001,120.38600000000001,1.0,4.020684665,,4.020684665,4.020684665,4.020684665,4.020684665,4.020684665,1.0,146.183,,146.183,146.183,146.183,146.183,146.183,1.0,4.882207107,,4.882207107,4.882207107,4.882207107,4.882207107,4.882207107,1.0,16.0,,16.0,16.0,16.0,16.0,16.0
LaserJet 400 M401dn,10.0,20.5,3.0276503540974917,16.0,18.25,20.5,22.75,25.0,10.0,83793.3,43175.05410161958,25822.0,48608.75,84799.0,103151.0,165232.0,10.0,83793.3,43175.05410161958,25822.0,48608.75,84799.0,103151.0,165232.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0153,0.0,0.0153,0.0153,0.0153,0.0153,0.0153,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1282.0374900000002,660.5783277547796,395.0766,743.7138749999999,1297.4247,1578.2103000000002,2528.0496,10.0,9.7023214014,20.375345433911626,1.078950992,2.03337944425,3.5448692795,4.3115825415,67.49822347,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1282.0374900000002,660.5783277547796,395.0766,743.7138749999999,1297.4247,1578.2103000000002,2528.0496,10.0,9.7023214014,20.375345433911626,1.078950992,2.03337944425,3.5448692795,4.3115825415,67.49822347,10.0,55.4,2.7568097504180447,51.0,53.5,55.5,57.0,59.0
LaserJet 400 M401dne,19.0,35.0,5.627314338711377,26.0,30.5,35.0,39.5,44.0,19.0,49740.57894736842,49950.50176070505,6576.0,13275.0,37703.0,63777.5,175744.0,19.0,49740.57894736842,49950.50176070505,6576.0,13275.0,37703.0,63777.5,175744.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.015299999999999998,1.7822589477650745e-18,0.0153,0.0153,0.0153,0.0153,0.0153,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,761.0308578947368,764.2426769387874,100.6128,203.10750000000002,576.8559,975.79575,2688.8832,19.0,5.559021739263158,15.245271187946502,0.275148516,0.5546868715,1.5761059259999999,3.6939677435000005,67.92189046,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,761.0308578947368,764.2426769387874,100.6128,203.10750000000002,576.8559,975.79575,2688.8832,19.0,5.559021739263158,15.245271187946502,0.275148516,0.5546868715,1.5761059259999999,3.6939677435000005,67.92189046,19.0,51.63157894736842,5.6392525737586245,43.0,48.0,52.0,56.5,59.0
LaserJet 400 MFP M425dn,13.0,51.0,3.8944404818493075,45.0,48.0,51.0,54.0,57.0,13.0,105134.92307692308,95922.89634428748,7925.0,37457.0,84649.0,148753.0,362891.0,13.0,105134.92307692308,95922.89634428748,7925.0,37457.0,84649.0,148753.0,362891.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.015300000000000001,1.805557439208312e-18,0.0153,0.0153,0.0153,0.0153,0.0153,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1608.5643230769228,1467.6203140675987,121.2525,573.0921,1295.1297,2275.9209,5552.2323,13.0,4.3930113638461545,4.006487085773415,0.33129033399999996,1.564398264,3.5385988,6.218350922999999,15.1561966,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1608.5643230769228,1467.6203140675987,121.2525,573.0921,1295.1297,2275.9209,5552.2323,13.0,4.3930113638461545,4.006487085773415,0.33129033399999996,1.564398264,3.5385988,6.218350922999999,15.1561966,13.0,47.92307692307692,4.462091035630763,41.0,47.0,49.0,49.0,59.0
