Is Managed,Manufacturer,Model,CPP BW,Serial Number,IP Address,Mac Address,Firmware Version 1,First Audit Date,Last Audit Date,Total Pages,Total Pages Mono,Total Pages Color,Total Cost Mono,TCM/Day
FALSE,,2,#N/A,4k?,10.157.59.66,EC-8E-B5-BF-3D-A3,,12/20/2018 5:18:05 AM,12/20/2018 5:18:05 AM,,,,,
FALSE,,HP LaserJet 400 M401dne,0.017,VNG3702020,10.157.43.74,,plslx07:/local/sandbox/romreleases/taishan1.6.r,,,,,,,
FALSE,,HP LaserJet MFP M426fdn,0.017,PHB8J170NR,10.157.56.53,,,,,,,,,
TRUE,HP,Color LaserJet CP2025dn,0.0258,CNGS705845,10.157.59.52,44-1E-A1-2F-8B-74,owl.rom.21,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,49522,16419,33103,423.6102,1.157402649
FALSE,HP,Color LaserJet CP3505,0.0256,CNBC82M3P8,10.157.49.25,00-1E-0B-0A-D7-64,03.018.5,10/9/2018 5:17:46 AM,10/10/2019 1:18:34 PM,172800,105081,67719,2690.0736,7.3432289
FALSE,HP,Color LaserJet M553,0.017,JPBCK7K1LB,10.157.49.86,F4-30-B9-72-3E-38,2308209_000566,,,,,,,
FALSE,HP,Color LaserJet M553,0.017,JPBCK9309F,10.157.47.54,F4-30-B9-F5-42-FB,2308214_000907,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,7162,2530,4632,43.01,0.117513431
FALSE,HP,Color LaserJet M553,0.017,JPBCK9V0Y8,10.157.54.59,18-60-24-C7-EE-34,2308214_000907,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,8786,5033,3753,85.561,2.857558829
FALSE,HP,Color LaserJet M553,0.017,JPBCK9V0YD,10.157.44.57,18-60-24-C7-EE-A9,2308214_000907,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,3418,529,2889,8.993,0.02457099
FALSE,HP,Color LaserJet M553,0.017,JPCCL25272,10.157.55.56,AC-E2-D3-DA-AD-1B,2308937_578487,3/29/2019 5:17:17 PM,10/10/2019 1:18:34 PM,319,31,288,0.527,0.002704864
FALSE,HP,Color LaserJet M553,0.017,JPCCL650Y7,10.157.16.52,B4-B6-86-7D-13-B0,2308937_578487,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,248,78,170,1.326,0.044285633
FALSE,HP,Color LaserJet M553,0.017,JPCCL650YG,10.157.44.51,B4-B6-86-7D-F1-CD,2308937_578487,1/8/2019 5:17:46 PM,10/10/2019 1:18:34 PM,23665,17332,6333,294.644,1.072080307
TRUE,HP,Color LaserJet M553,0.017,JPCCM4R16K,10.157.49.94,C4-65-16-E0-C4-9E,2309010_581409,7/26/2019 1:17:40 PM,10/7/2019 1:18:34 PM,1509,714,795,12.138,0.166272549
FALSE,HP,Color LaserJet MFP M577,0.017,MXCCM5Z1SZ,10.157.16.53,9C-7B-EF-8E-FD-A8,2309015_581593,9/10/2019 2:42:06 PM,10/10/2019 1:18:34 PM,15564,8599,6965,146.183,4.882207107
TRUE,HP,LaserJet 400 color M451dw,0.0256,CNDF510615,10.157.49.84,28-80-23-15-53-1F,plslx232:/local/sandbox/romreleases/thunderbird,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,49113,21301,27812,545.3056,1.48990309
FALSE,HP,LaserJet 400 color M451dw,0.0256,CNDF609229,10.157.49.119,28-80-23-15-43-CA,leslevm14:/local/sandbox/romreleases/thunderbir,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,30640,6870,23770,175.872,0.480523648
FALSE,HP,LaserJet 400 color M451dw,0.0256,CNDF609236,10.157.47.54,28-80-23-15-43-73,leslevm14:/local/sandbox/romreleases/thunderbir,10/9/2018 1:17:32 PM,8/8/2019 1:18:30 PM,36761,14835,21926,379.776,1.253383362
FALSE,HP,LaserJet 400 color M451dw,0.0256,CNDF609240,10.157.57.55,28-80-23-15-53-F6,leslevm14:/local/sandbox/romreleases/thunderbir,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,3309,589,2720,15.0784,0.041197733
FALSE,HP,LaserJet 400 color M451dw,0.0256,CNDF609241,10.157.49.83,28-80-23-15-43-60,plslx232:/local/sandbox/romreleases/thunderbird,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,13254,6984,6270,178.7904,0.488497403
FALSE,HP,LaserJet 400 M401dn,0.0153,VNB4F01148,10.157.55.52,80-C1-6E-94-0E-D7,plslx230:/local/sandbox/romreleases/taishan1.6.,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,25822,25822,0,395.0766,1.078950992
TRUE,HP,LaserJet 400 M401dn,0.0153,VNG3B01833,10.157.59.61,2C-59-E5-78-B5-0E,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,84979,84979,0,1300.1787,3.552393855
FALSE,HP,LaserJet 400 M401dn,0.0153,VNG3B01834,10.157.51.50,2C-59-E5-78-A5-BA,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 9:17:44 PM,10/10/2019 1:18:34 PM,48206,48206,0,737.5518,2.017002642
FALSE,HP,LaserJet 400 M401dn,0.0153,VNG3B01836,10.157.56.50,2C-59-E5-78-A5-B8,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,45757,45757,0,700.0821,1.91191854
TRUE,HP,LaserJet 400 M401dn,0.0153,VNG4C00944,10.157.52.53,2C-59-E5-D7-17-78,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,96527,96527,0,1476.8631,4.033301154
FALSE,HP,LaserJet 400 M401dn,0.0153,VNG4C00945,10.157.55.50,2C-59-E5-D7-17-83,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 1:17:32 PM,11/8/2018 9:17:48 AM,131615,131615,0,2013.7095,67.49822347
FALSE,HP,LaserJet 400 M401dn,0.0153,VNG4C00948,10.157.57.56,2C-59-E5-D7-F6-05,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,84619,84619,0,1294.6707,3.537344704
FALSE,HP,LaserJet 400 M401dn,0.0153,VNG4C00950,10.157.59.62,2C-59-E5-D7-C6-27,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,165232,165232,0,2528.0496,6.907225802
TRUE,HP,LaserJet 400 M401dn,0.0153,VNG4C00951,10.157.57.57,2C-59-E5-D7-C6-2E,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,49817,49817,0,762.2001,2.082509851
TRUE,HP,LaserJet 400 M401dn,0.0153,VNG4C00953,10.157.52.50,2C-59-E5-D7-C6-23,leslelx20:/var/lib/jenkins/jobs/gitbuilder/work,,,,,,,
FALSE,HP,LaserJet 400 M401dn,0.0153,VNG4C00965,10.157.53.50,2C-59-E5-D7-D6-07,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,105359,105359,0,1611.9927,4.404343004
TRUE,HP,LaserJet 400 M401dne,0.0153,PHGFC01004,10.157.49.51,A0-48-1C-6D-24-B0,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 9:17:37 AM,10/10/2019 1:18:34 PM,43940,43940,0,672.282,1.835996692
FALSE,HP,LaserJet 400 M401dne,0.0153,PHGFC07332,10.157.47.50,9C-B6-54-17-E7-90,plslx07:/local/sandbox/romreleases/taishan1.6.r,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,12723,12723,0,194.6619,0.531862072
FALSE,HP,LaserJet 400 M401dne,0.0153,PHGFF10496,10.157.43.51,FC-15-B4-2F-25-59,plslx230:/local/sandbox/romreleases/taishan1.6.,10/9/2018 1:17:32 PM,10/10/2019 1:18:34 PM,6872,6872,0,105.1416,0.287271568
